,,heat rate (MMBtu/MWh),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
technology,scenario,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
NG F-Frame CT,Advanced,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 
NG F-Frame CT,Moderate,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 
NG F-Frame CT,Conservative,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 ,9.72 
NG F-Frame CC,Advanced,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 
NG F-Frame CC,Moderate,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 
NG F-Frame CC,Conservative,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 ,6.36 
NG F-Frame CC 90% CCS,Advanced,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.02 ,6.87 ,6.73 ,6.58 ,6.44 ,6.29 ,6.15 ,6.00 ,5.84 ,5.67 ,5.51 ,5.34 ,5.18 ,5.18 ,5.18 ,5.18 ,5.18 ,5.18 ,5.18 ,5.18 ,5.18 ,5.18 ,5.18 ,5.18 ,5.18 
NG F-Frame CC 90% CCS,Moderate,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.09 ,7.02 ,6.94 ,6.87 ,6.80 ,6.73 ,6.65 ,6.58 ,6.50 ,6.42 ,6.33 ,6.25 ,6.17 ,6.17 ,6.17 ,6.17 ,6.17 ,6.17 ,6.17 ,6.17 ,6.17 ,6.17 ,6.17 ,6.17 ,6.17 
NG F-Frame CC 90% CCS,Conservative,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.16 ,7.16 
