,lon,lat,wind_cf,geometry,index_right,OBJECTID,PCA_REG,Shape_Leng,Shape_Area,PCA_Code,RTO_Code,region
92,-102.07633,35.193329999999996,0.409355825,POINT (-102.07633 35.19333),47,48,48,15.9627257016,8.88067499736,p48,rto8,SPP
93,-102.07115999999999,35.192467,0.409355825,POINT (-102.07116 35.192467),47,48,48,15.9627257016,8.88067499736,p48,rto8,SPP
94,-102.06804,35.191948,0.409355825,POINT (-102.06804 35.191948),47,48,48,15.9627257016,8.88067499736,p48,rto8,SPP
95,-101.594765,39.32971,0.37640631399999996,POINT (-101.594765 39.32971),51,52,52,11.0375331594,5.52140671152,p52,rto8,SPP
105,-99.82781999999999,39.002075,0.398548721,POINT (-99.82781999999999 39.002075),51,52,52,11.0375331594,5.52140671152,p52,rto8,SPP
106,-99.81983000000001,39.00047,0.398548721,POINT (-99.81983000000001 39.00047),51,52,52,11.0375331594,5.52140671152,p52,rto8,SPP
100,-100.97679000000001,41.13406,0.356112969,POINT (-100.97679 41.13406),39,40,40,19.4802791663,14.1875201409,p40,rto8,SPP
101,-100.97679000000001,41.13406,0.356112969,POINT (-100.97679 41.13406),39,40,40,19.4802791663,14.1875201409,p40,rto8,SPP
107,-99.13029499999999,40.670947999999996,0.38802761799999996,POINT (-99.13029499999999 40.670948),39,40,40,19.4802791663,14.1875201409,p40,rto8,SPP
108,-99.122505,40.67065,0.38802761799999996,POINT (-99.122505 40.67065),39,40,40,19.4802791663,14.1875201409,p40,rto8,SPP
121,-97.20707,40.822292,0.401177237,POINT (-97.20707 40.822292),39,40,40,19.4802791663,14.1875201409,p40,rto8,SPP
113,-98.30921,43.695667,0.40615879899999996,POINT (-98.30920999999999 43.695667),37,38,38,28.0265800809,19.9136254481,p38,rto11,SPP
114,-98.29818,43.695570000000004,0.40615879899999996,POINT (-98.29818 43.69557),37,38,38,28.0265800809,19.9136254481,p38,rto11,SPP
115,-98.28593000000001,43.695465000000006,0.409546105,POINT (-98.28593000000001 43.69546500000001),37,38,38,28.0265800809,19.9136254481,p38,rto11,SPP
116,-97.94483000000001,38.87849,0.407158323,POINT (-97.94483000000001 38.87849),52,53,53,19.6313336159,16.4829761984,p53,rto8,SPP
125,-96.81874,37.897746999999995,0.41287972799999995,POINT (-96.81874000000001 37.897747),52,53,53,19.6313336159,16.4829761984,p53,rto8,SPP
126,-96.81101,37.903557,0.41287972799999995,POINT (-96.81101 37.903557),52,53,53,19.6313336159,16.4829761984,p53,rto8,SPP
117,-97.48823,35.462193,0.39903357700000003,POINT (-97.48823 35.462193),49,50,50,24.5253802952,13.4514146873,p50,rto8,SPP
118,-97.46726,35.466553000000005,0.398964676,POINT (-97.46726 35.466553),49,50,50,24.5253802952,13.4514146873,p50,rto8,SPP
119,-97.4292,35.600163,0.40227287,POINT (-97.42919999999999 35.600163),49,50,50,24.5253802952,13.4514146873,p50,rto8,SPP
133,-94.619736,35.393463,0.255597141,POINT (-94.619736 35.393463),49,50,50,24.5253802952,13.4514146873,p50,rto8,SPP
134,-94.619736,35.393463,0.255597141,POINT (-94.619736 35.393463),49,50,50,24.5253802952,13.4514146873,p50,rto8,SPP
135,-94.5913,39.106804,0.34622678799999995,POINT (-94.5913 39.106804),53,54,54,12.1048594832,4.46575606763,p54,rto8,SPP
136,-94.5913,39.106804,0.34622678799999995,POINT (-94.5913 39.106804),53,54,54,12.1048594832,4.46575606763,p54,rto8,SPP
137,-94.56989,39.106915,0.34622678799999995,POINT (-94.56989 39.106915),53,54,54,12.1048594832,4.46575606763,p54,rto8,SPP
