,Plant Name,UniqueID_Final,ORIS Plant Code,Boiler/Generator/Committed Unit,Unit ID,CAMD Database UnitID,PlantType,Combustion Turbine/IC Engine,Region Name,State Name,State Code,County,County Code,FIPS5,Capacity (MW),Heat Rate (Btu/kWh),On Line Year,Retirement Year,Firing,Bottom,Cogen?,Modeled Fuels,Wet/DryScrubber,Scrubber_Online_Year,Scrubber Efficiency,NOx Comb Control,NOx Post-Comb Control,SCR_Online_Year,SNCR_Online_Year,PM Control,FlueGasConditioning_Flag,Mercury_Controls,ACI_Online_Year,Mercury_Controls Efficiency,SO2 Permit Rate (lbs/mmBtu),Mode 1 NOx Rate (lbs/mmBtu),Mode 2 NOx Rate (lbs/mmBtu),Mode 3 NOx Rate  (lbs/mmBtu),Mode 4 NOx Rate  (lbs/mmBtu),Hg EMF for BIT,Hg EMF for SUB,Hg EMF for LIG,HCL Removal,DSI Unit,DSI Online Year,CCS,CCS Removal,C2G,C2G Online Year,BART Affected Unit,FuelType,Plant Code_x,Latitude,Longitude,Plant Code_y,Nameplate Energy Capacity (MWh),Maximum Charge Rate (MW),Maximum Discharge Rate (MW),Efficiency,Minimum Energy Capacity (MWh),FuelPrice($/MMBtu),CO2EmRate(lb/MMBtu),MinDownTime(hrs),RampRate(MW/hr),StartCost($),MinLoad(MWh),RandOpCostAdder($/MWh),FOM(2012$/MW/yr),VOM(2012$/MWh),OpCost($/MWh),RegOfferElig,RegOfferCost($/MW),FlexOfferElig,ContOfferElig,YearAddedCE,Retired,YearRetiredByCE,YearRetiredByAge,GAMS Symbol,DataSource,ATBTechnologyType,ThermalOrRenewableOrStorage,CAPEX(2012$/MW),NSPSCompliant,NOxEmRate(lb/MMBtu),SO2EmRate(lb/MMBtu),Lifetime(years),SO2 Scrubber,CoalType,ECAPEX(2012$/MWH),PlantCategory
1,Bayou Cogen Plant,10298_G_GT1,10298,G,GT1,88564.0,Combustion Turbine,,ERC_REST,Texas,48.0,Harris,201.0,48201.0,75.0,12445.0,2014.0,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,DLNB,,,,,,,,,,0.01927,0.01927,0.01927,0.01927,,,,,,,,,,,,Natural Gas,10298.0,29.6225,-95.0458,,,,,,,3.419101677638398,117.0,2.0,25.650000000000002,1914.1840818141395,30.0,0.0,7340.0,15.45,58.00072037820986,0,0.0,1,1,0,False,False,False,10298+GT1,,,,,,,,,,,,
2,Bayou Cogen Plant,10298_G_GT2,10298,G,GT2,88564.0,Combustion Turbine,,ERC_REST,Texas,48.0,Harris,201.0,48201.0,75.0,9086.0,2015.0,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,DLNB,,,,,,,,,,0.02005,0.02005,0.02005,0.02005,,,,,,,,,,,,Natural Gas,10298.0,29.6225,-95.0458,,,,,,,3.419101677638398,117.0,2.0,25.650000000000002,1914.1840818141395,30.0,0.0,7340.0,15.45,46.51595784302248,0,0.0,1,1,0,False,False,False,10298+GT2,,,,,,,,,,,,
3,Bayou Cogen Plant,10298_G_GT3,10298,G,GT3,88565.0,Combustion Turbine,,ERC_REST,Texas,48.0,Harris,201.0,48201.0,75.0,9086.0,2015.0,9999,,,N,"Natural Gas, Distillate Fuel Oil",,,,DLNB,,,,,,,,,,0.01849,0.01849,0.01849,0.01849,,,,,,,,,,,,Natural Gas,10298.0,29.6225,-95.0458,,,,,,,3.419101677638398,117.0,2.0,25.650000000000002,1914.1840818141395,30.0,0.0,7340.0,15.45,46.51595784302248,0,0.0,1,1,0,False,False,False,10298+GT3,,,,,,,,,,,,
4,Formosa Utility Venture Ltd,10554_G_BO3,10554,G,BO3,,Combined Cycle,,ERC_REST,Texas,48.0,Calhoun,57.0,48057.0,32.0,6487.0,1987.0,9999,,,Y,Natural Gas,,,,,,,,,,,,,,0.11484,0.11484,0.11484,0.11484,,,,,,,,,,,,Natural Gas,10554.0,28.6917,-96.5417,,,,,,,3.419101677638398,117.0,4.0,20.448,3266.8741662961315,12.8,0.0,13170.0,3.5999999999999996,25.779712582840283,1,0.0,1,1,0,False,False,False,10554+BO3,,,,,,,,,,,,
5,Formosa Utility Venture Ltd,10554_G_ST1,10554,G,ST1,,Combined Cycle,,ERC_REST,Texas,48.0,Calhoun,57.0,48057.0,28.5,6487.0,1994.0,9999,,,Y,Natural Gas,,,,STM,,,,,,,,,,0.11484,0.11484,0.11484,0.11484,,,,,,,,,,,,Natural Gas,10554.0,28.6917,-96.5417,,,,,,,3.419101677638398,117.0,4.0,18.2115,2909.5598043574923,11.4,0.0,13170.0,3.5999999999999996,25.779712582840283,1,0.0,1,1,0,False,False,False,10554+ST1,,,,,,,,,,,,
6,Formosa Utility Venture Ltd,10554_G_ST2,10554,G,ST2,,Combined Cycle,,ERC_REST,Texas,48.0,Calhoun,57.0,48057.0,57.5,6487.0,1994.0,9999,,,Y,Natural Gas,,,,STM,,,,,,,,,,0.0694,0.0694,0.0694,0.0694,,,,,,,,,,,,Natural Gas,10554.0,28.6917,-96.5417,,,,,,,3.419101677638398,117.0,4.0,36.7425,5870.164517563361,23.0,0.0,13170.0,3.5999999999999996,25.779712582840283,1,0.0,1,1,0,False,False,False,10554+ST2,,,,,,,,,,,,
7,Formosa Utility Venture Ltd,10554_G_ST3,10554,G,ST3,,Combined Cycle,,ERC_REST,Texas,48.0,Calhoun,57.0,48057.0,47.3,6487.0,2002.0,9999,,,Y,Natural Gas,,,,STM,,,,,,,,,,0.08253,0.08253,0.08253,0.08253,,,,,,,,,,,,Natural Gas,10554.0,28.6917,-96.5417,,,,,,,3.419101677638398,117.0,4.0,30.2247,4828.84837705647,18.919999999999998,0.0,13170.0,3.5999999999999996,25.779712582840283,1,0.0,1,1,0,False,False,False,10554+ST3,,,,,,,,,,,,
8,Formosa Utility Venture Ltd,10554_G_TBG1,10554,G,TBG1,,Combined Cycle,,ERC_REST,Texas,48.0,Calhoun,57.0,48057.0,72.0,6487.0,1993.0,9999,,,Y,Natural Gas,,,,,,,,,,,,,,0.11484,0.11484,0.11484,0.11484,,,,,,,,,,,,Natural Gas,10554.0,28.6917,-96.5417,,,,,,,3.419101677638398,117.0,4.0,46.008,7350.466874166296,28.8,0.0,13170.0,3.5999999999999996,25.779712582840283,1,0.0,1,1,0,False,False,False,10554+TBG1,,,,,,,,,,,,
9,Formosa Utility Venture Ltd,10554_G_TBG2,10554,G,TBG2,,Combined Cycle,,ERC_REST,Texas,48.0,Calhoun,57.0,48057.0,72.0,6487.0,1993.0,9999,,,Y,Natural Gas,,,,,,,,,,,,,,0.0694,0.0694,0.0694,0.0694,,,,,,,,,,,,Natural Gas,10554.0,28.6917,-96.5417,,,,,,,3.419101677638398,117.0,4.0,46.008,7350.466874166296,28.8,0.0,13170.0,3.5999999999999996,25.779712582840283,1,0.0,1,1,0,False,False,False,10554+TBG2,,,,,,,,,,,,
10,Formosa Utility Venture Ltd,10554_G_TBG3,10554,G,TBG3,,Combined Cycle,,ERC_REST,Texas,48.0,Calhoun,57.0,48057.0,72.0,6487.0,1993.0,9999,,,Y,Natural Gas,,,,,,,,,,,,,,0.0694,0.0694,0.0694,0.0694,,,,,,,,,,,,Natural Gas,10554.0,28.6917,-96.5417,,,,,,,3.419101677638398,117.0,4.0,46.008,7350.466874166296,28.8,0.0,13170.0,3.5999999999999996,25.779712582840283,1,0.0,1,1,0,False,False,False,10554+TBG3,,,,,,,,,,,,
